review_id,review,product,rating
1,"I love the design, but the battery life is terrible.",WidgetPro,5
2,This product exceeded all my expectations. Absolutely amazing.,GizmoLite,5
3,The customer service was disappointing and the delivery took too long.,WidgetPro,2
4,"It is okay, nothing special but it gets the job done.",GizmoLite,3
5,Worst purchase I've made this year. Totally useless.,WidgetPro,1
6,Pretty good overall. I'd recommend it to friends.,GizmoLite,4
7,"Not bad, but I expected more for the price.",WidgetPro,3
8,Fantastic quality and super fast shipping!,GizmoLite,5
9,The app crashes constantly and support is unhelpful.,WidgetPro,2
10,Solid value for money. Works as described.,GizmoLite,4
